Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt13668894,2022-02-09,2022-02-09,,"The Book of Boba Fett","The Book of Boba Fett",https://www.imdb.com/title/tt13668894/,TV Mini Series,7.2,47,2021,"Action, Adventure, Sci-Fi",188065,2021-12-29,
2,tt15723914,2022-02-09,2022-02-09,,"Catching Killers","Catching Killers",https://www.imdb.com/title/tt15723914/,TV Series,7.2,40,2021,"Documentary, Crime, Mystery",5512,2021-11-04,
3,tt1877830,2022-02-09,2022-02-09,,"The Batman","The Batman",https://www.imdb.com/title/tt1877830/,Movie,7.8,176,2022,"Action, Crime, Drama, Mystery, Thriller",794137,2022-03-04,"Matt Reeves"
4,tt7740496,2022-02-09,2022-02-09,,"Nightmare Alley","Nightmare Alley",https://www.imdb.com/title/tt7740496/,Movie,7.0,150,2021,"Crime, Drama, Thriller",166259,2021-12-17,"Guillermo del Toro"
5,tt9170108,2022-02-09,2022-02-09,,"Raised by Wolves","Raised by Wolves",https://www.imdb.com/title/tt9170108/,TV Series,7.4,55,2020,"Drama, Fantasy, Sci-Fi, Thriller",87105,2020-09-03,
6,tt0104029,2022-02-09,2022-02-09,,"Cronos","Cronos",https://www.imdb.com/title/tt0104029/,Movie,6.7,94,1992,"Drama, Fantasy, Horror, Thriller",33240,1994-05,"Guillermo del Toro"
7,tt13146488,2022-02-09,2022-02-09,,"Peacemaker","Peacemaker",https://www.imdb.com/title/tt13146488/,TV Series,8.3,40,2022,"Action, Adventure, Comedy, Crime, Fantasy, Sci-Fi",136172,2022-01-13,
8,tt11280740,2022-02-09,2022-02-09,,"Severance","Severance",https://www.imdb.com/title/tt11280740/,TV Series,8.7,50,2022,"Drama, Mystery, Sci-Fi, Thriller",206242,2022-02-18,
9,tt6156584,2022-02-09,2022-02-09,,"Snowpiercer","Snowpiercer",https://www.imdb.com/title/tt6156584/,TV Series,6.9,60,2020,"Action, Drama, Sci-Fi, Thriller",63043,2020-05-17,
10,tt6333060,2022-02-09,2022-02-09,,"Icarus","Icarus",https://www.imdb.com/title/tt6333060/,Movie,7.9,120,2017,"Documentary, Sport",54939,2017-08-04,"Bryan Fogel"
11,tt11127056,2022-02-09,2022-02-09,,"Fire in Paradise","Fire in Paradise",https://www.imdb.com/title/tt11127056/,Short,7.4,39,2019,"Documentary, Short",1371,2019-11-01,"Zackary Canepari, Drea Cooper"
12,tt2712612,2022-02-09,2022-02-09,,"Drunk History","Drunk History",https://www.imdb.com/title/tt2712612/,TV Series,7.8,22,2013,"Comedy, History",12750,2013-07-09,
13,tt9159144,2022-02-09,2022-02-09,,"Dark Side of the Ring","Dark Side of the Ring",https://www.imdb.com/title/tt9159144/,TV Series,8.7,60,2019,"Documentary, Drama, History, Sport",3942,2019-04-10,
14,tt10370750,2022-02-09,2022-02-09,,"Trafficked with Mariana Van Zeller","Trafficked with Mariana van Zeller",https://www.imdb.com/title/tt10370750/,TV Series,8.4,47,2020,"Documentary",1331,2020-12-02,
15,tt2198333,2022-02-09,2022-02-09,,"America's Book of Secrets","America's Book of Secrets",https://www.imdb.com/title/tt2198333/,TV Series,6.7,44,2012,"Documentary",969,2012-01-15,
16,tt4687880,2022-02-09,2022-02-09,,"Goliath","Goliath",https://www.imdb.com/title/tt4687880/,TV Series,8.1,60,2016,"Drama",54615,2016-10-14,
17,tt9032400,2022-02-09,2022-02-09,,"Eternals","Eternals",https://www.imdb.com/title/tt9032400/,Movie,6.3,156,2021,"Action, Adventure, Fantasy, Sci-Fi",388371,2021-11-05,"Chloé Zhao"
18,tt4270492,2022-02-09,2022-02-09,,"Billions","Billions",https://www.imdb.com/title/tt4270492/,TV Series,8.3,60,2016,"Drama",110071,2016-01-01,
19,tt2249007,2022-02-09,2022-02-09,,"Ray Donovan","Ray Donovan",https://www.imdb.com/title/tt2249007/,TV Series,8.3,60,2013,"Crime, Drama",93876,2013-06-18,
20,tt14124268,2022-02-09,2022-02-09,,"Ray Donovan: The Movie","Ray Donovan: The Movie",https://www.imdb.com/title/tt14124268/,TV Movie,6.8,100,2022,"Crime, Drama, Thriller",9465,2022-01-14,"David Hollander"
21,tt14164730,2022-02-09,2022-02-09,,"Dexter: New Blood","Dexter: New Blood",https://www.imdb.com/title/tt14164730/,TV Mini Series,8.1,53,2021,"Crime, Drama, Mystery",102267,2021-11-07,
22,tt0430308,2022-02-09,2022-02-09,,"Get Rich or Die Tryin'","Get Rich or Die Tryin'",https://www.imdb.com/title/tt0430308/,Movie,5.5,117,2005,"Biography, Crime, Drama, Music",50357,2005-11-09,"Jim Sheridan, Jim Sheridan"
23,tt0209239,2022-02-11,2022-02-11,,"Playboy: Babes of Baywatch","Playboy: Babes of Baywatch",https://www.imdb.com/title/tt0209239/,Video,6.5,60,1998,"Documentary",184,1998-05-05,"Lawrence Lanoff"
24,tt5834204,2022-02-15,2022-02-15,,"The Handmaid's Tale","The Handmaid's Tale",https://www.imdb.com/title/tt5834204/,TV Series,8.4,60,2017,"Drama, Sci-Fi, Thriller",259386,2017-04-26,
25,tt2741950,2022-02-15,2022-02-15,,"Enlisted","Enlisted",https://www.imdb.com/title/tt2741950/,TV Series,6.9,24,2014,"Comedy",6270,2014-01-10,
26,tt16113748,2022-02-15,2022-02-15,,"City of Angels, City of Death","City of Angels, City of Death",https://www.imdb.com/title/tt16113748/,TV Series,7.8,,2021,"Documentary, Crime",884,2021-11-24,
27,tt8772296,2022-02-15,2022-02-15,,"Euphoria","Euphoria",https://www.imdb.com/title/tt8772296/,TV Series,8.3,55,2019,"Drama",245672,2019-06-16,
28,tt5788792,2022-02-15,2022-02-15,,"The Marvelous Mrs. Maisel","The Marvelous Mrs. Maisel",https://www.imdb.com/title/tt5788792/,TV Series,8.7,60,2017,"Comedy, Drama",143798,2017-03-17,
29,tt14128670,2022-02-15,2022-02-15,,"Kimi","Kimi",https://www.imdb.com/title/tt14128670/,Movie,6.3,89,2022,"Crime, Drama, Mystery, Thriller",39101,2022-02-10,"Steven Soderbergh"
30,tt12074628,2022-02-15,2022-02-15,,"Smiling Friends","Smiling Friends",https://www.imdb.com/title/tt12074628/,TV Series,8.5,12,2020,"Animation, Short, Comedy",15406,2020-04-01,
